DULICA;ULICA;PSC;DPOSTA;POSTA;POZNAMKA;OBCE
Fatranská;Fatranská;040 11;Košice 11;Košice 11;;Košice
Fejova;Fejova;040 01;Košice 1;Košice 1;;Košice
Feketeova pažiť;Feketeova pažiť;040 18;Košice 18;Košice 18;;Košice
Festivalové námestie;Festivalové námestie;040 01;Košice 1;Košice 1;;Košice
Fialková;Fialková;040 11;Košice 11;Košice 11;;Košice
Fibichova;Fibichova;040 01;Košice 1;Košice 1;;Košice
Fiľakovská;Fiľakovská;040 11;Košice 11;Košice 11;;Košice
Floriánska;Floriánska;040 01;Košice 1;Košice 1;;Košice
Franckova;Franckova;040 01;Košice 1;Košice 1;;Košice
Františkánska;Františkánska;040 01;Košice 1;Košice 1;;Košice
Furčianska;Furčianska;040 14;Košice 14;Košice 14;;Košice
Gagarinovo námestie;Gagarinovo námestie;040 12;Košice 12;Košice 12;;Košice
Galaktická;Galaktická;040 12;Košice 12;Košice 12;;Košice
Galenova;Galenova;040 01;Košice 1;Košice 1;;Košice
Galgovecká;Galgovecká;040 11;Košice 11;Košice 11;;Košice
Garbiarska;Garbiarska;040 01;Košice 1;Košice 1;;Košice
Gaštanová;Gaštanová;040 01;Košice 1;Košice 1;;Košice
Gavlovičova;Gavlovičova;040 17;Košice 17;Košice 17;;Košice
Gazdovská;Gazdovská;040 01;Košice 1;Košice 1;;Košice
Gelnická;Gelnická;040 11;Košice 11;Košice 11;;Košice
Gemerská;Gemerská;040 11;Košice 11;Košice 11;;Košice
Gerlachovská;Gerlachovská;040 01;Košice 1;Košice 1;;Košice
Goetheho;Goetheho;040 18;Košice 18;Košice 18;;Košice
Gogoľova;Gogoľova;040 01;Košice 1;Košice 1;;Košice
Goldírova;Goldírova;040 18;Košice 18;Košice 18;č. 1-10;Košice
Golianova;Golianova;040 18;Košice 18;Košice 18;;Košice
Gorkého;Gorkého;040 01;Košice 1;Košice 1;;Košice
Gorovecká;Gorovecká;040 01;Košice 1;Košice 1;;Košice
Grešákova;Grešákova;040 01;Košice 1;Košice 1;;Košice
Gudernova;Gudernova;040 11;Košice 11;Košice 11;;Košice
Haburská;Haburská;040 11;Košice 11;Košice 11;;Košice
Hájnická;Hájnická;040 01;Košice 1;Košice 1;;Košice
Hanojská;Hanojská;040 13;Košice 13;Košice 13;;Košice
Harčarova;Harčarova;040 18;Košice 18;Košice 18;;Košice
Harmančeková;Harmančeková;040 17;Košice 17;Košice 17;;Košice
Harmincova;Harmincova;040 18;Košice 18;Košice 18;;Košice
Havanská;Havanská;040 13;Košice 13;Košice 13;;Košice
Haviarska;Haviarska;040 01;Košice 1;Košice 1;;Košice
Havlíčkova;Havlíčkova;040 01;Košice 1;Košice 1;;Košice
Hečkova;Hečkova;040 17;Košice 17;Košice 17;;Košice
Hellova;Hellova;040 11;Košice 11;Košice 11;;Košice
Helsinská;Helsinská;040 13;Košice 13;Košice 13;;Košice
Hemerkova;Hemerkova;040 23;Košice 23;Košice 23;;Košice
Herlianska;Herlianska;040 14;Košice 14;Košice 14;;Košice
Heydukova;Heydukova;040 01;Košice 1;Košice 1;;Košice
Hlavná;Hlavná;040 01;Košice 1;Košice 1;;Košice
Hlavné námestie;Hlavné námestie;040 01;Košice 1;Košice 1;;Košice
Hlinkova;Hlinkova;040 01;Košice 1;Košice 1;;Košice
Hlohová;Hlohová;040 22;Košice 22;Košice 22;čisla 1-9;Košice
Hodonínska;Hodonínska;040 11;Košice 11;Košice 11;;Košice
Hollého;Hollého;040 01;Košice 1;Košice 1;;Košice
Holubyho;Holubyho;040 01;Košice 1;Košice 1;;Košice
Horná;Horná;040 18;Košice 18;Košice 18;;Košice
Hornádska;Hornádska;040 01;Košice 1;Košice 1;;Košice
Horolezecká;Horolezecká;040 01;Košice 1;Košice 1;;Košice
Horovova;Horovova;040 17;Košice 17;Košice 17;;Košice
Hrabová;Hrabová;040 22;Košice 22;Košice 22;nepárne č. 25-45, párne č. 18-20;Košice
Hradbová;Hradbová;040 01;Košice 1;Košice 1;;Košice
Hraničná;Hraničná;040 17;Košice 17;Košice 17;;Košice
Hrbová;Hrbová;040 01;Košice 1;Košice 1;;Košice
Hrebendova;Hrebendova;040 11;Košice 11;Košice 11;;Košice
Hrnčiarska;Hrnčiarska;040 01;Košice 1;Košice 1;;Košice
Hroncova;Hroncova;040 01;Košice 1;Košice 1;;Košice
Hronská;Hronská;040 11;Košice 11;Košice 11;;Košice
Humenská;Humenská;040 11;Košice 11;Košice 11;;Košice
Huncovská;Huncovská;040 01;Košice 1;Košice 1;;Košice
Hurbanova;Hurbanova;040 01;Košice 1;Košice 1;;Košice
Husárska;Husárska;040 01;Košice 1;Košice 1;č. 1;Košice
Husárska;Husárska;040 11;Košice 11;Košice 11;ostatné čísla  okrem čísla 1;Košice
Húskova;Húskova;040 23;Košice 23;Košice 23;;Košice
Hutnícka;Hutnícka;040 01;Košice 1;Košice 1;;Košice
Hviezdoslavova;Hviezdoslavova;040 01;Košice 1;Košice 1;;Košice
Hvozdíkov park;Hvozdíkov park;040 01;Košice 1;Košice 1;;Košice
Chalupkova;Chalupkova;040 01;Košice 1;Košice 1;;Košice
Charkovská;Charkovská;040 22;Košice 22;Košice 22;;Košice
Chmeľníky;Chmeľníky;040 16;Košice 16;Košice 16;;Košice
Chrastie;Chrastie;040 01;Košice 1;Košice 1;;Košice
Chrómová;Chrómová;040 17;Košice 17;Košice 17;;Košice
Idanská;Idanská;040 11;Košice 11;Košice 11;;Košice
Inžinierska;Inžinierska;040 11;Košice 11;Košice 11;;Košice
Ipeľská;Ipeľská;040 11;Košice 11;Košice 11;;Košice
Irkutská;Irkutská;040 12;Košice 12;Košice 12;;Košice
Jabloňová;Jabloňová;040 15;Košice 15;Košice 15;;Košice
Jačmenná;Jačmenná;040 01;Košice 1;Košice 1;;Košice
Jahodová;Jahodová;040 01;Košice 1;Košice 1;;Košice
Jakobyho;Jakobyho;040 01;Košice 1;Košice 1;;Košice
Jaltská;Jaltská;040 22;Košice 22;Košice 22;;Košice
Jána Pavla II;Jána Pavla II;040 23;Košice 23;Košice 23;;Košice
Jána Pavla II.;Jána Pavla II.;040 23;Košice 23;Košice 23;;Košice
Janigova;Janigova;040 23;Košice 23;Košice 23;;Košice
Janitorova;Janitorova;040 17;Košice 17;Košice 17;;Košice
Jánošíkova;Jánošíkova;040 01;Košice 1;Košice 1;;Košice
Jantárová;Jantárová;040 01;Košice 1;Košice 1;;Košice
Jantárové nám.;Jantárové nám.;040 11;Košice 11;Košice 11;;Košice
Jarabinová;Jarabinová;040 22;Košice 22;Košice 22;nepárne č. 1-9;Košice
Jarková;Jarková;040 15;Košice 15;Košice 15;;Košice
Jarmočná;Jarmočná;040 01;Košice 1;Košice 1;;Košice
Jarná;Jarná;040 01;Košice 1;Košice 1;;Košice
Jaseňová;Jaseňová;040 14;Košice 14;Košice 14;;Košice
Jasovská;Jasovská;040 11;Košice 11;Košice 11;;Košice
Jasuschova;Jasuschova;040 23;Košice 23;Košice 23;;Košice
Javorová;Javorová;040 01;Košice 1;Košice 1;;Košice
Jazdecká;Jazdecká;040 01;Košice 1;Košice 1;;Košice
Jazerná;Jazerná;040 12;Košice 12;Košice 12;;Košice
Jazmínová;Jazmínová;040 11;Košice 11;Košice 11;;Košice
Jazvečia;Jazvečia;040 13;Košice 13;Košice 13;;Košice
Jedlíkova;Jedlíkova;040 11;Košice 11;Košice 11;;Košice
Jedľová;Jedľová;040 01;Košice 1;Košice 1;;Košice
Jegorovovo námestie;Jegorovovo námestie;040 22;Košice 22;Košice 22;;Košice
Jelenia;Jelenia;040 01;Košice 1;Košice 1;;Košice
Jelšavská;Jelšavská;040 11;Košice 11;Košice 11;;Košice
Jelšová;Jelšová;040 22;Košice 22;Košice 22;1, párne 18-24;Košice
Jenisejská;Jenisejská;040 12;Košice 12;Košice 12;;Košice
Jesenná;Jesenná;040 01;Košice 1;Košice 1;;Košice
Jesenského;Jesenského;040 01;Košice 1;Košice 1;;Košice
Jihlavská;Jihlavská;040 11;Košice 11;Košice 11;;Košice
Jilemnického;Jilemnického;040 01;Košice 1;Košice 1;;Košice
Jiskrova;Jiskrova;040 01;Košice 1;Košice 1;;Košice
Juhoslovanská;Juhoslovanská;040 13;Košice 13;Košice 13;;Košice
Junácka;Junácka;040 01;Košice 1;Košice 1;;Košice
Južná trieda;Južná trieda;040 01;Košice 1;Košice 1;okrem č. 82, 82B, 86;Košice
Južná trieda;Južná trieda;040 17;Košice 17;Košice 17;číslo 82, 82B, 86;Košice
Južné nábrežie;Južné nábrežie;040 01;Košice 1;Košice 1;;Košice
K ihrisku;K ihrisku;040 01;Košice 1;Košice 1;;Košice
K lesu;K lesu;040 18;Košice 18;Košice 18;;Košice
K letisku;K letisku;040 17;Košice 17;Košice 17;;Košice
K majeru;K majeru;040 18;Košice 18;Košice 18;;Košice
Kadlubská;Kadlubská;040 01;Košice 1;Košice 1;;Košice
Kalinčiakova;Kalinčiakova;040 01;Košice 1;Košice 1;;Košice
Kalinovská;Kalinovská;040 22;Košice 22;Košice 22;;Košice
Kameničná;Kameničná;040 15;Košice 15;Košice 15;;Košice
Kamenná;Kamenná;040 15;Košice 15;Košice 15;;Košice
Kapustná;Kapustná;040 17;Košice 17;Košice 17;;Košice
Karlovarská;Karlovarská;040 11;Košice 11;Košice 11;;Košice
Karpatská;Karpatská;040 01;Košice 1;Košice 1;;Košice
Kasárenské námestie;Kasárenské námestie;040 01;Košice 1;Košice 1;;Košice
Kaspická;Kaspická;040 12;Košice 12;Košice 12;;Košice
Kaštieľna;Kaštieľna;040 15;Košice 15;Košice 15;;Košice
Katkin park;Katkin park;040 11;Košice 11;Košice 11;;Košice
Kavečianska cesta;Kavečianska cesta;040 01;Košice 1;Košice 1;;Košice
Keldišova;Keldišova;040 18;Košice 18;Košice 18;;Košice
Kertésova;Kertésova;040 18;Košice 18;Košice 18;;Košice
Kežmarská;Kežmarská;040 11;Košice 11;Košice 11;;Košice
Kisdyho;Kisdyho;040 01;Košice 1;Košice 1;;Košice
Kladenská;Kladenská;040 18;Košice 18;Košice 18;;Košice
Klimkovičova;Klimkovičova;040 23;Košice 23;Košice 23;;Košice
Klinčeková;Klinčeková;040 01;Košice 1;Košice 1;;Košice
Kmeťova;Kmeťova;040 01;Košice 1;Košice 1;;Košice
Komenského;Komenského;040 01;Košice 1;Košice 1;;Košice
Komenského park;Komenského park;040 01;Košice 1;Košice 1;;Košice
Komočov;Komočov;040 18;Košice 18;Košice 18;č. 1-50;Košice
Končistá;Končistá;040 01;Košice 1;Košice 1;;Košice
Konopná;Konopná;040 18;Košice 18;Košice 18;;Košice
Konvalinková;Konvalinková;040 11;Košice 11;Košice 11;;Košice
Kopečná;Kopečná;040 01;Košice 1;Košice 1;;Košice
Kórejská;Kórejská;040 01;Košice 1;Košice 1;;Košice
Korýtková;Korýtková;040 01;Košice 1;Košice 1;;Košice
Kosatcová;Kosatcová;040 01;Košice 1;Košice 1;;Košice
Kostolianska cesta;Kostolianska cesta;040 01;Košice 1;Košice 1;;Košice
Kostolná;Kostolná;040 01;Košice 1;Košice 1;;Košice
Kostrova;Kostrova;040 17;Košice 17;Košice 17;;Košice
Košťova;Košťova;040 01;Košice 1;Košice 1;;Košice
Kováčska;Kováčska;040 01;Košice 1;Košice 1;;Košice
Kovaľská;Kovaľská;040 15;Košice 15;Košice 15;;Košice
Kpt. Jaroša;Kpt. Jaroša;040 22;Košice 22;Košice 22;;Košice
Kpt. Nálepku;Kpt. Nálepku;040 01;Košice 1;Košice 1;;Košice
Krajná;Krajná;040 18;Košice 18;Košice 18;;Košice
Krakovská;Krakovská;040 11;Košice 11;Košice 11;;Košice
Králičia;Králičia;040 01;Košice 1;Košice 1;;Košice
Krasiňského;Krasiňského;040 01;Košice 1;Košice 1;;Košice
Krásnohorská;Krásnohorská;040 11;Košice 11;Košice 11;;Košice
Krátka;Krátka;040 17;Košice 17;Košice 17;č. 1-6;Košice
Krátka;Krátka;040 18;Košice 18;Košice 18;č. 96-97, 114, 116-118;Košice
Krčméryho;Krčméryho;040 11;Košice 11;Košice 11;;Košice
Kremnická;Kremnická;040 11;Košice 11;Košice 11;;Košice
Krivá;Krivá;040 01;Košice 1;Košice 1;;Košice
Križinova;Križinova;040 18;Košice 18;Košice 18;;Košice
Krmanova;Krmanova;040 01;Košice 1;Košice 1;;Košice
Krompašská;Krompašská;040 11;Košice 11;Košice 11;;Košice
Krosnianska;Krosnianska;040 22;Košice 22;Košice 22;;Košice
Krupinská;Krupinská;040 01;Košice 1;Košice 1;;Košice
Ku Bangortu;Ku Bangortu;040 16;Košice 16;Košice 16;;Košice
Ku Gardu;Ku Gardu;040 15;Košice 15;Košice 15;;Košice
Ku hájovni;Ku hájovni;040 16;Košice 16;Košice 16;;Košice
Ku mlynu;Ku mlynu;040 15;Košice 15;Košice 15;;Košice
Ku Potoku;Ku Potoku;040 16;Košice 16;Košice 16;;Košice
Ku štrkovisku;Ku štrkovisku;040 18;Košice 18;Košice 18;;Košice
Kubánska;Kubánská;040 18;Košice 18;Košice 18;;Košice
Kubíková;Kubíková;040 17;Košice 17;Košice 17;;Košice
Kukučínova;Kukučínova;040 01;Košice 1;Košice 1;;Košice
Kukuričná;Kukuričná;040 01;Košice 1;Košice 1;;Košice
Kupeckého;Kupeckého;040 01;Košice 1;Košice 1;;Košice
Kurská;Kurská;040 22;Košice 22;Košice 22;;Košice
Kustrova;Kustrova;040 01;Košice 1;Košice 1;;Košice
Kuzmányho;Kuzmányho;040 01;Košice 1;Košice 1;;Košice
Kvetná;Kvetná;040 15;Košice 15;Košice 15;č. 2-58;Košice
Kysucká;Kysucká;040 11;Košice 11;Košice 11;;Košice
Laborecká;Laborecká;040 11;Košice 11;Košice 11;;Košice
Lackova;Lackova;040 18;Košice 18;Košice 18;;Košice
Ladožská;Ladožská;040 12;Košice 12;Košice 12;;Košice
Ľanová;Ľanová;040 17;Košice 17;Košice 17;;Košice
Lečkova;Lečkova;040 11;Košice 11;Košice 11;;Košice
Lermontovova;Lermontovova;040 01;Košice 1;Košice 1;;Košice
Lesná;Lesná;040 01;Košice 1;Košice 1;;Košice
Lesnícka;Lesnícka;040 11;Košice 11;Košice 11;;Košice
Letecká;Letecká;040 01;Košice 1;Košice 1;;Košice
Letná;Letná;040 01;Košice 1;Košice 1;;Košice
Levanduľová;Levanduľová;040 17;Košice 17;Košice 17;;Košice
Levická;Levická;040 11;Košice 11;Košice 11;;Košice
Levočská;Levočská;040 12;Košice 12;Košice 12;;Košice
Lidické námestie;Lidické námestie;040 22;Košice 22;Košice 22;;Košice
Liesková;Liesková;040 01;Košice 1;Košice 1;;Košice
Lichardova;Lichardova;040 01;Košice 1;Košice 1;;Košice
Lipová;Lipová;040 01;Košice 1;Košice 1;;Košice
Liptovská;Liptovská;040 01;Košice 1;Košice 1;;Košice
Löfflerova;Löfflerova;040 01;Košice 1;Košice 1;;Košice
Lomená;Lomená;040 01;Košice 1;Košice 1;;Košice
Lomnická;Lomnická;040 01;Košice 1;Košice 1;;Košice
Lomonosovova;Lomonosovova;040 01;Košice 1;Košice 1;;Košice
Londýnska;Londýnska;040 01;Košice 1;Košice 1;;Košice
Lorinčík;Lorinčík;040 11;Košice 11;Košice 11;;Košice
Lovecká;Lovecká;040 01;Košice 1;Košice 1;;Košice
Lubina;Lubina;040 12;Košice 12;Košice 12;;Košice
Lučenecká;Lučenecká;040 11;Košice 11;Košice 11;;Košice
Lúčna;Lúčna;040 15;Košice 15;Košice 15;;Košice
Lúčnicová;Lúčnicová;040 11;Košice 11;Košice 11;;Košice
Ludmanská;Ludmanská;040 01;Košice 1;Košice 1;;Košice
Ľudová;Ľudová;040 11;Košice 11;Košice 11;;Košice
Ľudvíkov dvor;Ludvíkov dvor;040 15;Košice 15;Košice 15;;Košice
Lupkovská;Lupkovská;040 22;Košice 22;Košice 22;;Košice
Lyžiarska;Lyžiarska;040 01;Košice 1;Košice 1;;Košice
Macákova;Macákova;040 11;Košice 11;Košice 11;;Košice
Maďarská;Maďarská;040 13;Košice 13;Košice 13;;Košice
Madridská;Madridská;040 13;Košice 13;Košice 13;;Košice
Magdalénska;Magdalénska;040 01;Košice 1;Košice 1;;Košice
Magnezitárska;Magnezitárska;040 13;Košice 13;Košice 13;;Košice
Magurská;Magurská;040 01;Košice 1;Košice 1;;Košice
Májová;Májová;040 01;Košice 1;Košice 1;;Košice
Malá;Malá;040 01;Košice 1;Košice 1;;Košice
Malinová;Malinová;040 01;Košice 1;Košice 1;;Košice
Maloidanská;Maloidanská;040 15;Košice 15;Košice 15;;Košice
Mánesova;Mánesova;040 01;Košice 1;Košice 1;;Košice
Markušova;Markušova;040 11;Košice 11;Košice 11;;Košice
Maršala Koneva;Maršala Koneva;040 22;Košice 22;Košice 22;;Košice
Martinská;Martinská;040 11;Košice 11;Košice 11;;Košice
Masarykova;Masarykova;040 01;Košice 1;Košice 1;;Košice
Maša;Maša;040 16;Košice 16;Košice 16;;Košice
Matičná;Matičná;040 17;Košice 17;Košice 17;;Košice
Matuškova;Matuškova;040 11;Košice 11;Košice 11;;Košice
Maurerova;Maurerova;040 22;Košice 22;Košice 22;;Košice
Mäsiarska;Mäsiarska;040 01;Košice 1;Košice 1;;Košice
Medená;Medená;040 17;Košice 17;Košice 17;;Košice
Medická;Medická;040 11;Košice 11;Košice 11;;Košice
Medzevská;Medzevská;040 11;Košice 11;Košice 11;;Košice
Medzi mostami;Medzi mostami;040 01;Košice 1;Košice 1;;Košice
Mengusovská;Mengusovská;040 01;Košice 1;Košice 1;;Košice
Mestský park;Mestský park;040 01;Košice 1;Košice 1;;Košice
Meškova;Meškova;040 18;Košice 18;Košice 18;;Košice
Meteorová;Meteorová;040 12;Košice 12;Košice 12;;Košice
Mierová;Mierová;040 15;Košice 15;Košice 15;;Košice
Michalovská;Michalovská;040 11;Košice 11;Košice 11;;Košice
Mikovíniho;Mikovíniho;040 11;Košice 11;Košice 11;;Košice
Milosrdenstva;Milosrdenstva;040 01;Košice 1;Košice 1;;Košice
Minská;Minská;040 18;Košice 18;Košice 18;;Košice
Miškovecká;Miškovecká;040 11;Košice 11;Košice 11;;Košice
Mládežnícka;Mládežnícka;040 15;Košice 15;Košice 15;;Košice
Mliečna;Mliečna;040 14;Košice 14;Košice 14;;Košice
Mlynárska;Mlynárska;040 01;Košice 1;Košice 1;;Košice
Mlynská;Mlynská;040 01;Košice 1;Košice 1;;Košice
Močiarna;Močiarna;040 17;Košice 17;Košice 17;;Košice
Modranská;Modranská;040 18;Košice 18;Košice 18;;Košice
Mojmírova;Mojmírova;040 01;Košice 1;Košice 1;;Košice
Moldavská;Moldavská;040 11;Košice 11;Košice 11;Košice Západ (nepárne čísla);Košice
Moldavská cesta;Moldavská cesta;040 11;Košice 11;Košice 11;Košice Juh (párne čísla);Košice
Mongolská;Mongolská;040 01;Košice 1;Košice 1;;Košice
Moravská;Moravská;040 01;Košice 1;Košice 1;;Košice
Mosadzná;Mosadzná;040 17;Košice 17;Košice 17;;Košice
Moskovská trieda;Moskovská trieda;040 11;Košice 11;Košice 11;;Košice
Moyzesova;Moyzesova;040 01;Košice 1;Košice 1;;Košice
Mozartova;Mozartova;040 18;Košice 18;Košice 18;;Košice
Mudroňova;Mudroňova;040 01;Košice 1;Košice 1;;Košice
Muránska;Muránska;040 01;Košice 1;Košice 1;;Košice
Murgašova;Murgašova;040 01;Košice 1;Košice 1;;Košice
Muškátová;Muškátová;040 11;Košice 11;Košice 11;;Košice
Myslavská;Myslavská;040 16;Košice 16;Košice 16;;Košice
Na Brehu;Na Brehu;040 18;Košice 18;Košice 18;;Košice
Na Demetri;Na Demetri;040 13;Košice 13;Košice 13;;Košice
Na doline;Na doline;040 14;Košice 14;Košice 14;;Košice
Na hájiku;Na hájiku;040 13;Košice 13;Košice 13;;Košice
Na hore;Na hore;040 22;Košice 22;Košice 22;;Košice
Na Hôrke;Na Hôrke;040 01;Košice 1;Košice 1;;Košice
Na Kalvárii;Na Kalvárii;040 01;Košice 1;Košice 1;;Košice
Na kope;Na kope;040 16;Košice 16;Košice 16;;Košice
Na Kope II;Na Kope II;040 16;Košice 16;Košice 16;;Košice
Na Kope VI;Na Kope VI;040 16;Košice 16;Košice 16;;Košice
Na Košarisku;Na Košarisku;040 11;Košice 11;Košice 11;;Košice
Na močidlách;Na močidlách;040 18;Košice 18;Košice 18;;Košice
Na pažiti;Na pažiti;040 18;Košice 18;Košice 18;;Košice
Na rožku;Na rožku;040 01;Košice 1;Košice 1;;Košice
Na sihoti;Na sihoti;040 13;Košice 13;Košice 13;;Košice
Na stráni;Na stráni;040 01;Košice 1;Košice 1;;Košice
Na šajbe;Na šajbe;040 01;Košice 1;Košice 1;;Košice
Na záhumní;Na záhumní;040 15;Košice 15;Košice 15;;Košice
Nábrežná;Nábrežná;040 18;Košice 18;Košice 18;;Košice
Nad Belogradom;Nad Belogradom;040 18;Košice 18;Košice 18;;Košice
Nad záhradami;Nad záhradami;040 15;Košice 15;Košice 15;;Košice
Nám. mlad. poľnohosp;Nám. mlad. poľnohosp;;;;pozri Námestie mladých poľnohospodárov;Košice
Nám. oceliarov;Nám. oceliarov;040 15;Košice 15;Košice 15;;Košice
Námestie Jána Mathého;Námestie Jána Mathého;;;;pozri Námestie Nádeje;Košice
Námestie Košických mučeníkov;Námestie Košických mučeníkov;040 12;Košice 12;Košice 12;;Košice
Námestie kozmonautov;Námestie kozmonautov;040 12;Košice 12;Košice 12;;Košice
Námestie L. Novomeského;Námestie L. Novomeského;040 01;Košice 1;Košice 1;;Košice
Námestie Maratónu mieru;Námestie Maratónu mieru;040 01;Košice 1;Košice 1;;Košice
Námestie mladých poľnohospodárov;Nám. mlad. poľnohosp;040 17;Košice 17;Košice 17;;Košice
Námestie Nádeje;Námestie Nádeje;040 01;Košice 1;Košice 1;;Košice
Námestie osloboditeľov;Námestie osloboditeľov;040 01;Košice 1;Košice 1;;Košice
Námestie Sándora Máraiho;Námestie Sándora Máraiho;040 01;Košice 1;Košice 1;;Košice
Námestie slobody;Námestie slobody;040 01;Košice 1;Košice 1;;Košice
Námestie sv. Cyrila a Metoda;Námestie sv. Cyrila a Metoda;040 18;Košice 18;Košice 18;č. 1,2;Košice
Napájadlá;Napájadlá;040 12;Košice 12;Košice 12;;Košice
Narcisová;Narcisová;040 11;Košice 11;Košice 11;;Košice
Národná trieda;Národná trieda;040 01;Košice 1;Košice 1;;Košice
Národné námestie;Národné námestie;040 01;Košice 1;Košice 1;;Košice
Němcovej;Němcovej;040 01;Košice 1;Košice 1;;Košice
Nemessányiho;Nemessányiho;040 15;Košice 15;Košice 15;;Košice
Nerudova;Nerudova;040 01;Košice 1;Košice 1;;Košice
Nešporova;Nešporova;040 11;Košice 11;Košice 11;;Košice
Nevädzová;Nevädzová;040 01;Košice 1;Košice 1;;Košice
Niklová;Niklová;040 17;Košice 17;Košice 17;;Košice
Nitrianska;Nitrianska;040 01;Košice 1;Košice 1;;Košice
Nivky;Nivky;040 01;Košice 1;Košice 1;;Košice
Nižná Úvrať;Nižná Úvrať;040 01;Košice 1;Košice 1;;Košice
Nižné Chmeľníky;Nižné Chmeľníky;040 16;Košice 16;Košice 16;;Košice
Nižné Kapustníky;Nižné Kapustníky;040 01;Košice 1;Košice 1;č. 20;Košice
Nižné Kapustníky;Nižné Kapustníky;040 12;Košice 12;Košice 12;č. 1,2;Košice
Nižný Heringeš;Nižný Heringeš;040 01;Košice 1;Košice 1;;Košice
Nová;Nová;040 18;Košice 18;Košice 18;;Košice
Novobanská;Novobanská;040 11;Košice 11;Košice 11;;Košice
Obchodná;Obchodná;040 11;Košice 11;Košice 11;;Košice
Oblá;Oblá;040 01;Košice 1;Košice 1;;Košice
Obrancov mieru;Obrancov mieru;040 01;Košice 1;Košice 1;;Košice
Obrody;Obrody;040 11;Košice 11;Košice 11;;Košice
Odborárska;Odborárska;040 01;Košice 1;Košice 1;;Košice
Olivová;Olivová;040 01;Košice 1;Košice 1;;Košice
Omská;Omská;040 01;Košice 1;Košice 1;;Košice
Ondavská;Ondavská;040 11;Košice 11;Košice 11;;Košice
Opálová;Opálová;040 11;Košice 11;Košice 11;;Košice
Opatovská cesta;Opatovská cesta;040 01;Košice 1;Košice 1;;Košice
Opátska;Opátska;040 18;Košice 18;Košice 18;;Košice
Oravská;Oravská;040 01;Košice 1;Košice 1;;Košice
Orechová;Orechová;040 01;Košice 1;Košice 1;;Košice
Orgovánová;Orgovánová;040 11;Košice 11;Košice 11;;Košice
Orlia;Orlia;040 01;Košice 1;Košice 1;;Košice
Orná;Orná;040 18;Košice 18;Košice 18;;Košice
Ortašská;Ortašská;040 18;Košice 18;Košice 18;;Košice
Ortoviská;Ortoviská;040 18;Košice 18;Košice 18;;Košice
Ortvaňová;Ortvaňová;040 14;Košice 14;Košice 14;;Košice
Osiková;Osiková;040 01;Košice 1;Košice 1;;Košice
Ostravská;Ostravská;040 11;Košice 11;Košice 11;;Košice
Ostrovského;Ostrovského;040 01;Košice 1;Košice 1;;Košice
Oštepová;Oštepová;040 01;Košice 1;Košice 1;;Košice
Ovocná;Ovocná;040 17;Košice 17;Košice 17;;Košice
Ovručská;Ovručská;040 22;Košice 22;Košice 22;;Košice
Ovsená;Ovsená;040 01;Košice 1;Košice 1;;Košice
Pajorova;Pajorova;040 01;Košice 1;Košice 1;;Košice
Palackého;Palackého;040 01;Košice 1;Košice 1;;Košice
Palárikova;Palárikova;040 01;Košice 1;Košice 1;;Košice
Palkovičova;Palkovičova;040 01;Košice 1;Košice 1;;Košice
Palmová;Palmová;040 01;Košice 1;Košice 1;;Košice
Panelová;Panelová;040 01;Košice 1;Košice 1;;Košice
Papradia;Papradia;040 17;Košice 17;Košice 17;;Košice
Park Angelinum;Park Angelinum;040 01;Košice 1;Košice 1;;Košice
Park duklianskych obetí;Park duklianskych obetí;040 01;Košice 1;Košice 1;;Košice
Park mládeže;Park mládeže;040 01;Košice 1;Košice 1;;Košice
Park obrancov mieru;Park obrancov mieru;040 01;Košice 1;Košice 1;;Košice
Partizánska;Partizánska;040 01;Košice 1;Košice 1;;Košice
Pasienková;Pasienková;040 18;Košice 18;Košice 18;;Košice
Pasteurova;Pasteurova;040 01;Košice 1;Košice 1;;Košice
Pasteurovo námestie;Pasteurovo námestie;040 01;Košice 1;Košice 1;;Košice
Paulínyho;Paulínyho;040 11;Košice 11;Košice 11;;Košice
Pažitná;Pažitná;040 15;Košice 15;Košice 15;;Košice
Pekinská;Pekinská;040 13;Košice 13;Košice 13;;Košice
Pekná;Pekná;040 01;Košice 1;Košice 1;;Košice
Perešská;Perešská;040 11;Košice 11;Košice 11;;Košice
Perlová;Perlová;040 01;Košice 1;Košice 1;;Košice
Petzvalova;Petzvalova;040 11;Košice 11;Košice 11;;Košice
Pezinská;Pezinská;040 18;Košice 18;Košice 18;;Košice
Pieninská;Pieninská;040 11;Košice 11;Košice 11;;Košice
Piesočná;Piesočná;040 18;Košice 18;Košice 18;;Košice
Piešťanská;Piešťanská;040 11;Košice 11;Košice 11;;Košice
Platanová;Platanová;040 01;Košice 1;Košice 1;;Košice
Platinová;Platinová;040 17;Košice 17;Košice 17;;Košice
Plávková;Plávková;040 11;Košice 11;Košice 11;;Košice
Pláž;Pláž;040 12;Košice 12;Košice 12;;Košice
Plťová;Plťová;040 01;Košice 1;Košice 1;;Košice
Plzenská;Plzenská;040 11;Košice 11;Košice 11;;Košice
Pod Furčou;Pod Furčou;040 01;Košice 1;Košice 1;;Košice
Pod gruntom;Pod gruntom;040 16;Košice 16;Košice 16;;Košice
Pod horou;Pod horou;040 16;Košice 16;Košice 16;;Košice
Pod hrabinou;Pod hrabinou;040 16;Košice 16;Košice 16;;Košice
